group,legacy_entity,role_id,initial_cost,required_alignment,task,pledge_exclusive,mount,mount_name,mount_armor,status
ARRYN,GOTEntityArrynLevyman,arryn_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN,GOTEntityArrynLevymanArcher,arryn_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN,GOTEntityArrynSoldier,arryn_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN,GOTEntityArrynSoldierArcher,arryn_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN,GOTEntityArrynBannerBearer,arryn_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
ARRYN,GOTEntityArrynSoldier,arryn_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
ARRYN,GOTEntityArrynBannerBearer,arryn_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
BRAAVOS,GOTEntityBraavosLevyman,braavos_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
BRAAVOS,GOTEntityBraavosLevymanArcher,braavos_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
BRAAVOS,GOTEntityBraavosSoldier,braavos_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
BRAAVOS,GOTEntityBraavosSoldierArcher,braavos_soldier_archer,15,60.0,WARRIOR,False,,,,ACTIVE_1_0
BRAAVOS,GOTEntityBraavosBannerBearer,braavos_banner_bearer,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
BRAAVOS,GOTEntityBraavosSoldier,braavos_soldier,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
BRAAVOS,GOTEntityBraavosBannerBearer,braavos_banner_bearer,15,65.0,WARRIOR,False,GOTEntityHorse,Rider,got/common/database/GOTItems.ironHorseArmor,DEFERRED_MOUNT
DORNE,GOTEntityDorneLevyman,dorne_levyman,5,55.0,WARRIOR,False,,,,ACTIVE_1_0
DORNE,GOTEntityDorneLevymanArcher,dorne_levyman_archer,10,55.0,WARRIOR,False,,,,ACTIVE_1_0
DORNE,GOTEntityDorneSoldier,dorne_soldier,10,60.0,WARRIOR,False,,,,ACTIVE_1_0
