pool,entry_index,legacy_item_field,base_cost,frozen_price,constructor,raw_integer_constants
BAELISH_SELLS,0,got/common/database/GOTItems.petyrBaelishDagger,4096,True,Lnet/minecraft/item/ItemStack;IZ,"[4096, 1]"
DAVOS_SELLS,0,got/common/database/GOTItems.leek,5,False,Lnet/minecraft/item/ItemStack;I,[5]
DAVOS_SELLS,1,got/common/database/GOTBlocks.leekCrop,5,False,Lnet/minecraft/item/ItemStack;I,[5]
DAVOS_SELLS,2,got/common/database/GOTItems.leekSoup,5,False,Lnet/minecraft/item/ItemStack;I,[5]
TOBHO_SELLS,0,got/common/database/GOTItems.valyrianDagger,512,True,Lnet/minecraft/item/ItemStack;IZ,"[512, 1]"
TOBHO_SELLS,1,got/common/database/GOTItems.valyrianDaggerPoisoned,512,True,Lnet/minecraft/item/ItemStack;IZ,"[512, 1]"
TOBHO_SELLS,2,got/common/database/GOTItems.valyrianHammer,2048,True,Lnet/minecraft/item/ItemStack;IZ,"[2048, 1]"
TOBHO_SELLS,3,got/common/database/GOTItems.valyrianSpear,512,True,Lnet/minecraft/item/ItemStack;IZ,"[512, 1]"
TOBHO_SELLS,4,got/common/database/GOTItems.valyrianSword,1024,True,Lnet/minecraft/item/ItemStack;IZ,"[1024, 1]"
TOBHO_SELLS,5,got/common/database/GOTItems.valyrianHelmet,2560,True,Lnet/minecraft/item/ItemStack;IZ,"[2560, 1]"
TOBHO_SELLS,6,got/common/database/GOTItems.valyrianChestplate,4096,True,Lnet/minecraft/item/ItemStack;IZ,"[4096, 1]"
TOBHO_SELLS,7,got/common/database/GOTItems.valyrianLeggings,3584,True,Lnet/minecraft/item/ItemStack;IZ,"[3584, 1]"
TOBHO_SELLS,8,got/common/database/GOTItems.valyrianBoots,2048,True,Lnet/minecraft/item/ItemStack;IZ,"[2048, 1]"
TOBHO_SELLS,9,got/common/database/GOTItems.valyrianChainmailHelmet,2,True,Lnet/minecraft/item/ItemStack;IZ,"[1536, 2, 1]"
TOBHO_SELLS,10,got/common/database/GOTItems.valyrianChainmailChestplate,2,True,Lnet/minecraft/item/ItemStack;IZ,"[2560, 2, 1]"
TOBHO_SELLS,11,got/common/database/GOTItems.valyrianChainmailLeggings,2,True,Lnet/minecraft/item/ItemStack;IZ,"[2560, 2, 1]"
TOBHO_SELLS,12,got/common/database/GOTItems.valyrianChainmailBoots,2,True,Lnet/minecraft/item/ItemStack;IZ,"[1024, 2, 1]"
BAKER_SELLS,0,got/common/database/GOTItems.appleCrumble,12,False,Lnet/minecraft/item/ItemStack;I,[12]
BAKER_SELLS,1,got/common/database/GOTItems.cherryPie,12,False,Lnet/minecraft/item/ItemStack;I,[12]
