constant,legacy_id,name,faction
WALKER,613,walker,WHITE_WALKER
WILDLING,495,wildling,WILDLING
THENN,496,thenn,WILDLING
REDBEARD,497,redbeard,WILDLING
NIGHT,499,night,NIGHT_WATCH
ROBB,1,robb,NORTH
EDDARD,0,eddard,NORTH
ROBBBOOK,2,robbBook,NORTH
UMBER,3,umber,NORTH
UMBERBOOK,4,umberBook,NORTH
BOLTON,5,bolton,NORTH
BOLTONBOOK,6,boltonbook,NORTH
DUSTIN,7,dustin,NORTH
BARBREY,8,barbrey,NORTH
KARSTARK,9,karstark,NORTH
KARSTARKBOOK,10,karstarkBook,NORTH
LOCKE,11,locke,NORTH
MANDERLY,12,manderly,NORTH
MANDERLYBOOK,13,manderlyBook,NORTH
MORMONT,14,mormont,NORTH
MORMONTBOOK,15,mormontBook,NORTH
REED,16,reed,NORTH
REEDBOOK,17,reedBook,NORTH
REEDHBO,18,reedHBO,NORTH
RYSWELL,19,ryswell,NORTH
RODRIKRYSWELL,20,rodrikryswell,NORTH
CERWYN,21,cerwyn,NORTH
WHITEHILL,22,whitehill,NORTH
WHITEHILLBOOK,23,whitehillBook,NORTH
FLINTWW,24,flintWW,NORTH
FLINTFF,25,flintFF,NORTH
HORNWOOD,26,hornwood,NORTH
HORNWOODBOOK,27,hornwoodBook,NORTH
GLOVER,28,glover,NORTH
TALLHART,29,tallhart,NORTH
WOOLFIELD,30,woolfield,NORTH
GLENMORE,31,glenmore,NORTH
DORMUND,32,dormund,NORTH
CASSEL,33,cassel,NORTH
CONDON,34,condon,NORTH
MARSH,35,marsh,NORTH
MAZIN,36,mazin,NORTH
MOLLEN,37,mollen,NORTH
POOLE,38,poole,NORTH
STOUT,39,stout,NORTH
SLATE,40,slate,NORTH
WELLS,41,wells,NORTH
FENN,42,fenn,NORTH
BURLEY,43,burley,NORTH
WULL,44,wull,NORTH
LIDDLE,45,liddle,NORTH
NORREY,46,norrey,NORTH
KNOTT,47,knott,NORTH
FIRSTFLINT,48,firstFlint,NORTH
HARCLAY,49,harclay,NORTH
FORRESTER,50,forrester,NORTH
FORRESTERBOOK,51,forresterBook,NORTH
CROWL,52,crowl,NORTH
MAGNAR,53,magnar,NORTH
STANE,54,stane,NORTH
ASHWOOD,55,ashwood,NORTH
BOLE,56,bole,NORTH
BRANCH,57,branch,NORTH
BRANFIELD,58,branfield,NORTH
DEGORE,59,degore,NORTH
IRONSMITH,60,ironsmith,NORTH
LAKE,61,lake,NORTH
LIGHTFOOT,62,lightfoot,NORTH
MOSS,63,moss,NORTH
RYDER,64,ryder,NORTH
TOWERSN,65,towersN,NORTH
WATERMAN,66,waterman,NORTH
WOODS,67,woods,NORTH
JONSNOW,68,jonsnow,NORTH
JONKING,69,jonking,NORTH
STARKD,70,starkD,NORTH
GREYSTARK,550,greystark,NORTH
FISHERSS,551,fisherSS,NORTH
FLINTBH,552,flintBH,NORTH
FROST,553,frost,NORTH
WOODFOOT,554,woodfoot,NORTH
FIRSTMEN,555,firstmen,NORTH
LAUGHINGTREE,600,laughingTree,NORTH
GREYJOY,157,greyjoy,IRONBORN
GREYJOYBOOK,158,greyjoyBook,IRONBORN
EURON,159,euron,IRONBORN
EURONBOOK,160,euronBook,IRONBORN
VICTARION,161,victarion,IRONBORN
BLACKTYDE,162,blacktyde,IRONBORN
BOTLEY,163,botley,IRONBORN
WYNCH,164,wynch,IRONBORN
VOLMARK,165,volmark,IRONBORN
GOODBROTHER,166,goodbrother,IRONBORN
GOODBROTHERCL,167,goodbrotherCL,IRONBORN
GOODBROTHERCSK,168,goodbrotherCSK,IRONBORN
GOODBROTHERD,169,goodbrotherD,IRONBORN
GOODBROTHERO,170,goodbrotherO,IRONBORN
GOODBROTHERS,171,goodbrotherS,IRONBORN
DRUMM,172,drumm,IRONBORN
MERLYN,173,merlyn,IRONBORN
ORKWOOD,174,orkwood,IRONBORN
SALTCLIFFE,175,saltcliffe,IRONBORN
SUNDERLY,176,sunderly,IRONBORN
TAWNEY,177,tawney,IRONBORN
FARWYND,178,farwynd,IRONBORN
FARWYNDLL,179,farwyndLL,IRONBORN
HARLAW,180,harlaw,IRONBORN
KENNINGH,181,kenningH,IRONBORN
CODD,182,codd,IRONBORN
MYRE,183,myre,IRONBORN
IRONMAKER,184,ironmaker,IRONBORN
SPARR,185,sparr,IRONBORN
STONETREE,186,stonetree,IRONBORN
STONEHOUSE,187,stonehouse,IRONBORN
HARLAWTG,188,harlawTG,IRONBORN
HARLAWHH,189,harlawHH,IRONBORN
HARLAWGG,190,harlawGG,IRONBORN
HARLAWHALL,191,harlawHall,IRONBORN
GORMONDGOODBROTHER,192,gormondgoodbrother,IRONBORN
GRANGOODBROTHER,193,grangoodbrother,IRONBORN
GREYIRON,569,greyiron,IRONBORN
HOARE,570,hoare,IRONBORN
DALTON,571,dalton,IRONBORN
LANNISTER,194,lannister,WESTERLANDS
PRESTER,210,prester,WESTERLANDS
LANNISTERB,195,lannisterB,WESTERLANDS
LANNISTERC,196,lannisterC,WESTERLANDS
LANNISTERBOOK,197,lannisterBook,WESTERLANDS
BANEFORT,198,banefort,WESTERLANDS
BANEFORTBOOK,199,banefortBook,WESTERLANDS
BRAX,200,brax,WESTERLANDS
WESTERLING,201,westerling,WESTERLANDS
JAST,202,jast,WESTERLANDS
KENNINGK,203,kenningK,WESTERLANDS
CRAKEHALL,204,crakehall,WESTERLANDS
LEFFORD,205,lefford,WESTERLANDS
LYDDEN,206,lydden,WESTERLANDS
MARBRAND,207,marbrand,WESTERLANDS
MORELAND,208,moreland,WESTERLANDS
PLUMM,209,plumm,WESTERLANDS
SARWYCK,211,sarwyck,WESTERLANDS
SERRETT,212,serrett,WESTERLANDS
SERRETTBOOK,213,serrettBook,WESTERLANDS
STACKSPEAR,214,stackspear,WESTERLANDS
FARMAN,215,farman,WESTERLANDS
FALWELL,216,falwell,WESTERLANDS
ESTREN,217,estren,WESTERLANDS
WESTFORD,218,westford,WESTERLANDS
VIKARY,219,vikary,WESTERLANDS
GREENFIELD,220,greenfield,WESTERLANDS
YEW,221,yew,WESTERLANDS
CLEGANE,222,clegane,WESTERLANDS
LORCH,223,lorch,WESTERLANDS
RUTTIGER,224,ruttiger,WESTERLANDS
SWYFT,225,swyft,WESTERLANDS
HETHERSPOON,226,hetherspoon,WESTERLANDS
BETTLEY,227,bettley,WESTERLANDS
BROOM,228,broom,WESTERLANDS
LANNISPORT,229,lannisport,WESTERLANDS
LANNISTERD,230,lannisterD,WESTERLANDS
LANNISTERTYGETT,231,lannisterTygett,WESTERLANDS
PAYNE,232,payne,WESTERLANDS
SARSFIELD,233,sarsfield,WESTERLANDS
TURNBERRY,234,turnberry,WESTERLANDS
FOOTE,235,foote,WESTERLANDS
YARWYCK,236,yarwyck,WESTERLANDS
SPICER,237,spicer,WESTERLANDS
ALGOOD,238,algood,WESTERLANDS
CLIFTON,239,clifton,WESTERLANDS
DOGGETT,240,doggett,WESTERLANDS
DROX,241,drox,WESTERLANDS
FERREN,242,ferren,WESTERLANDS
FREYRIVERRUN,243,freyriverrun,WESTERLANDS
HAWTHORNE,245,hawthorne,WESTERLANDS
KYNDALL,246,kyndall,WESTERLANDS
LANNETT,247,lannett,WESTERLANDS
LANNY,248,lanny,WESTERLANDS
LANTELL,249,lantell,WESTERLANDS
MYATT,250,myatt,WESTERLANDS
PECKLEDON,251,peckledon,WESTERLANDS
TYRION,252,tyrion,WESTERLANDS
AMORYLORCH,253,amorylorch,WESTERLANDS
CASTERLY,572,casterly,WESTERLANDS
PARREN,573,parren,WESTERLANDS
REYNE,574,reyne,WESTERLANDS
REYNEBOOK,575,reyneBook,WESTERLANDS
TARBECK,576,tarbeck,WESTERLANDS
TYBOLT,577,tybolt,WESTERLANDS
TULLY,71,tully,RIVERLANDS
TULLYBOOK,72,tullyBook,RIVERLANDS
BUTTERWELL,73,butterwell,RIVERLANDS
BLACKWOOD,74,blackwood,RIVERLANDS
BLACKWOODBOOK,75,blackwoodBook,RIVERLANDS
BRACKEN,76,bracken,RIVERLANDS
BRACKENBOOK,77,brackenBook,RIVERLANDS
VYPREN,78,vypren,RIVERLANDS
VANCEWR,79,vanceWR,RIVERLANDS
VANCEA,80,vanceA,RIVERLANDS
GOODBROOK,81,goodbrook,RIVERLANDS
DARRY,82,darry,RIVERLANDS
LYCHESTER,83,lychester,RIVERLANDS
MALLISTER,84,mallister,RIVERLANDS
JAREMYMALLISTER,85,jaremymallister,RIVERLANDS
MOOTON,86,mooton,RIVERLANDS
PIPER,87,piper,RIVERLANDS
RYGER,88,ryger,RIVERLANDS
ROOTE,89,roote,RIVERLANDS
SMALLWOOD,90,smallwood,RIVERLANDS
WHENT,91,whent,RIVERLANDS
FREY,92,frey,RIVERLANDS
FREYBOOK,93,freyBook,RIVERLANDS
AEMONRIVERS,94,aemonrivers,RIVERLANDS
BENFREY,95,benfrey,RIVERLANDS
BIGWALDER,96,bigwalder,RIVERLANDS
LITTLEWALDER,97,littlewalder,RIVERLANDS
WALDER,98,walder,RIVERLANDS
CHARLTON,99,charlton,RIVERLANDS
COX,100,cox,RIVERLANDS
PAEGE,101,paege,RIVERLANDS
WODE,102,wode,RIVERLANDS
HEDDLE,103,heddle,RIVERLANDS
HAIGH,104,haigh,RIVERLANDS
ERENFORD,105,erenford,RIVERLANDS
GRELL,106,grell,RIVERLANDS
WAYN,107,wayn,RIVERLANDS
HARLTON,108,harlton,RIVERLANDS
LOTHSTON,109,lothston,RIVERLANDS
STRONG,110,strong,RIVERLANDS
BLANETREE,111,blanetree,RIVERLANDS
HAWICK,112,hawick,RIVERLANDS
LOLLISTON,113,lolliston,RIVERLANDS
SHAWNEY,114,shawney,RIVERLANDS
BLACKFISH,115,blackfish,RIVERLANDS
BLACKFISHBOOK,116,blackfishBook,RIVERLANDS
JUSTMAN,556,justman,RIVERLANDS
QOHERYS,557,qoherys,RIVERLANDS
TOWERS,558,towers,RIVERLANDS
TEAGUE,559,teague,RIVERLANDS
FISHER,560,fisher,RIVERLANDS
HARROWAY,561,harroway,RIVERLANDS
MUDD,562,mudd,RIVERLANDS
ARLAN,563,arlan,RIVERLANDS
ROBERTBLACKWOOD,564,robertblackwood,RIVERLANDS
ROLANDBLACKWOOD,565,rolandblackwood,RIVERLANDS
ROGERBLACKWOOD,566,rogerblackwood,RIVERLANDS
HILLMEN,498,hillmen,HILL_TRIBES
ARRYN,117,arryn,ARRYN
ARRYNBOOK,118,arrynBook,ARRYN
BELMORE,119,belmore,ARRYN
GRAFTON,120,grafton,ARRYN
EGEN,121,egen,ARRYN
ELESHAM,122,elesham,ARRYN
CORBRAY,123,corbray,ARRYN
CORBRAYBOOK,124,corbrayBook,ARRYN
COLDWATER,125,coldwater,ARRYN
LYNDERLY,126,lynderly,ARRYN
MELCOLM,127,melcolm,ARRYN
REDFORT,128,redfort,ARRYN
ROYCE,129,royce,ARRYN
ROYCEBOOK,130,royceBook,ARRYN
ROYCEGM,131,royceGM,ARRYN
TOLLETT,132,tollett,ARRYN
WAYNWOOD,133,waynwood,ARRYN
HUNTER,134,hunter,ARRYN
HERSY,135,hersy,ARRYN
WAXLEY,136,waxley,ARRYN
MOORE,137,moore,ARRYN
TEMPLETON,138,templeton,ARRYN
HARDYNG,139,hardyng,ARRYN
HARROLDHARDYNG,140,harroldhardyng,ARRYN
SHETTGTOWN,141,shettgtown,ARRYN
SHETTGTOWER,142,shettgtower,ARRYN
SUNDERLAND,143,sunderland,ARRYN
BORRELL,144,borrell,ARRYN
TORRENT,145,torrent,ARRYN
UPCLIFFE,146,upcliff,ARRYN
ARRYNGT,147,arrynGT,ARRYN
BAELISHOLD,148,baelishold,ARRYN
BREAKSTONE,149,breakstone,ARRYN
DONNIGER,150,donniger,ARRYN
PRYOR,151,pryor,ARRYN
LIPPS,152,lipps,ARRYN
LONGTORPE,153,longtorpe,ARRYN
RUTHERMONT,154,ruthermont,ARRYN
WYDMAN,155,wydman,ARRYN
HUGH,156,hugh,ARRYN
SHELL,567,shell,ARRYN
BRIGHTSTONE,568,brightstone,ARRYN
STANNIS,294,stannis,DRAGONSTONE
STANNISBOOK,295,stannisBook,DRAGONSTONE
VELARYON,296,velaryon,DRAGONSTONE
VELARYONBOOK,297,velaryonBook,DRAGONSTONE
BAREMMON,298,baremmon,DRAGONSTONE
SUNGLASS,299,sunglass,DRAGONSTONE
CELTIGAR,300,celtigar,DRAGONSTONE
MASSEY,301,massey,DRAGONSTONE
FLORENT,302,florent,DRAGONSTONE
FLORENTBOOK,303,florentBook,DRAGONSTONE
STAUNTON,304,staunton,DRAGONSTONE
FOLLARD,305,follard,DRAGONSTONE
CHYTTERING,306,chyttering,DRAGONSTONE
SEAWORTH,307,seaworth,DRAGONSTONE
FARRING,308,farring,DRAGONSTONE
PENDRAGON,309,pendragon,DRAGONSTONE
ALQALIS,310,alqalis,DRAGONSTONE
RAMBTON,311,rambton,DRAGONSTONE
HORPE,312,horpe,DRAGONSTONE
GOWER,313,gower,DRAGONSTONE
PATREK,314,patrek,DRAGONSTONE
SUGGS,315,suggs,DRAGONSTONE
ROLLANDSTORM,316,rollandStorm,DRAGONSTONE
AURANEWATERS,317,auranewaters,DRAGONSTONE
SHADRICH,318,shadrich,DRAGONSTONE
OAKENFIST,578,oakenfist,DRAGONSTONE
SEASMOKE,579,seasmoke,DRAGONSTONE
ROBERT,319,robert,CROWNLANDS
JOFFREY,254,joffrey,CROWNLANDS
HAND,255,hand,CROWNLANDS
BAELISH,256,baelish,CROWNLANDS
BAELISHBOOK,257,baelishBook,CROWNLANDS
BUCKWELL,258,buckwell,CROWNLANDS
BYRCH,259,byrch,CROWNLANDS
WENDWATER,260,wendwater,CROWNLANDS
MALLERY,261,mallery,CROWNLANDS
MANNING,262,manning,CROWNLANDS
RIKKER,263,rikker,CROWNLANDS
ROSBY,264,rosby,CROWNLANDS
STOKEWORTH,265,stokeworth,CROWNLANDS
HARTE,266,harte,CROWNLANDS
HAYFORD,267,hayford,CROWNLANDS
CHELSTED,268,chelsted,CROWNLANDS
BRUNEB,269,bruneB,CROWNLANDS
BRUNEDD,270,bruneDD,CROWNLANDS
BYWATER,271,bywater,CROWNLANDS
BLOUNT,272,blount,CROWNLANDS
GAUNT,273,gaunt,CROWNLANDS
SLYNT,274,slynt,CROWNLANDS
THORNE,275,thorne,CROWNLANDS
KETTLEBLACK,276,kettleblack,CROWNLANDS
BOGGS,277,boggs,CROWNLANDS
CAVE,278,cave,CROWNLANDS
CRESSEY,279,cressey,CROWNLANDS
DARGOOD,280,dargood,CROWNLANDS
DARKE,281,darke,CROWNLANDS
DARKWOOD,282,darkwood,CROWNLANDS
HARDY,283,hardy,CROWNLANDS
HOGG,284,hogg,CROWNLANDS
LANGWARD,285,langward,CROWNLANDS
LONGWATERS,286,longwaters,CROWNLANDS
PYLE,287,pyle,CROWNLANDS
PYNE,288,pyne,CROWNLANDS
ROLLINGFORD,289,rollingford,CROWNLANDS
BRONNBOOK,290,bronnBook,CROWNLANDS
TALLAD,291,tallad,CROWNLANDS
LOTHOR,292,lothor,CROWNLANDS
MORROS,293,morros,CROWNLANDS
KINGSGUARD,512,kingsguard,CROWNLANDS
DARKLYN,546,darklyn,CROWNLANDS
HOLLARD,547,hollard,CROWNLANDS
CARGYLE,548,cargyle,CROWNLANDS
CRABB,549,crabb,CROWNLANDS
DUNCAN,599,duncan,CROWNLANDS
RENLY,321,renly,STORMLANDS
ROBERTB,320,robertB,STORMLANDS
RENLYBOOK,322,renlyBook,STORMLANDS
BUCKLER,323,buckler,STORMLANDS
GRANDISON,324,grandison,STORMLANDS
CAFFEREN,325,cafferen,STORMLANDS
MERTYNS,326,mertyns,STORMLANDS
MORRIGEN,327,morrigen,STORMLANDS
PENROSE,328,penrose,STORMLANDS
STAEDMON,329,staedmon,STORMLANDS
TARTH,330,tarth,STORMLANDS
TARTHBOOK,331,tarthBook,STORMLANDS
WYLDE,332,wylde,STORMLANDS
FELL,333,fell,STORMLANDS
ERROL,334,errol,STORMLANDS
ESTERMONT,335,estermont,STORMLANDS
DONDARRION,336,dondarrion,STORMLANDS
DONDARRIONBOOK,337,dondarrionBook,STORMLANDS
CARON,338,caron,STORMLANDS
SWANN,339,swann,STORMLANDS
SWANNBOOK,340,swannBook,STORMLANDS
SELMY,341,selmy,STORMLANDS
BOLLING,342,bolling,STORMLANDS
CONNINGTON,343,connington,STORMLANDS
HASTY,344,hasty,STORMLANDS
WAGSTAFF,345,wagstaff,STORMLANDS
WENSINGTON,346,wensington,STORMLANDS
PEASEBURY,347,peasebury,STORMLANDS
ROGERS,348,rogers,STORMLANDS
FOOTEN,349,footeN,STORMLANDS
TRANT,350,trant,STORMLANDS
HERSTON,351,herston,STORMLANDS
KELLINGTON,352,kellington,STORMLANDS
LONMOUTH,353,lonmouth,STORMLANDS
MUSGOOD,354,musgood,STORMLANDS
SWYGERT,355,swygert,STORMLANDS
TUDBURY,356,tudbury,STORMLANDS
WHITEHEAD,357,whitehead,STORMLANDS
PEARSE,358,pearse,STORMLANDS
EDRICSTORM,359,edricstorm,STORMLANDS
RENLYGUARD,513,renlyguard,STORMLANDS
DURRANDON,580,durrandon,STORMLANDS
COLE,581,cole,STORMLANDS
TOYNE,582,toyne,STORMLANDS
TYRELL,360,tyrell,REACH
DURWELL,415,durwell,REACH
AMBROSE,361,ambrose,REACH
BLACKBAR,362,blackbar,REACH
VARNER,363,varner,REACH
VYRWEL,364,vyrwel,REACH
CASWELL,365,caswell,REACH
CORDWAYNER,366,cordwayner,REACH
COCKSHAW,367,cockshaw,REACH
CRANE,368,crane,REACH
MEADOWS,369,meadows,REACH
MERRYWEATHER,370,merryweather,REACH
OAKHEART,371,oakheart,REACH
PEAKE,372,peake,REACH
REDWYNE,373,redwyne,REACH
REDWYNEBOOK,374,redwyneBook,REACH
ROWAN,375,rowan,REACH
TARLY,376,tarly,REACH
TARLY_BOOK,377,tarlyBook,REACH
TYRELLBK,378,tyrellBK,REACH
TYRELLL,379,tyrelll,REACH
FOSSOWAYCH,380,fossowayCH,REACH
FOOTLY,381,footly,REACH
HIGHTOWER,382,hightower,REACH
HIGHTOWERBOOK,383,hightowerBook,REACH
SHERMER,384,shermer,REACH
APPLETON,385,appleton,REACH
ASHFORD,386,ashford,REACH
BEESBURY,387,beesbury,REACH
BULLWER,388,bullwer,REACH
COSTAYNE,389,costayne,REACH
CUY,390,cuy,REACH
MULLENDORE,391,mullendore,REACH
GRIMM,392,grimm,REACH
SERRY,393,serry,REACH
HEWETT,394,hewett,REACH
CHESTER,395,chester,REACH
FOSSOWAYNB,396,fossowayNB,REACH
OSGREY,397,osgrey,REACH
OSGREYLL,398,osgreyll,REACH
BALL,399,ball,REACH
WEBBER,400,webber,REACH
WILLUM,401,willum,REACH
