legacy_java_field,proposed_1_20_registry_id,matching_texture,status
aleHorn,ale_horn,True,pending
aleHornGold,ale_horn_gold,True,pending
alloySteelAxe,alloy_steel_axe,True,pending
alloySteelBattleaxe,alloy_steel_battleaxe,True,pending
alloySteelBoots,alloy_steel_boots,True,pending
alloySteelChainmailBoots,alloy_steel_chainmail_boots,True,pending
alloySteelChainmailChestplate,alloy_steel_chainmail_chestplate,True,pending
alloySteelChainmailHelmet,alloy_steel_chainmail_helmet,True,pending
alloySteelChainmailLeggings,alloy_steel_chainmail_leggings,True,pending
alloySteelChestplate,alloy_steel_chestplate,True,pending
alloySteelCrossbow,alloy_steel_crossbow,True,pending
alloySteelDagger,alloy_steel_dagger,True,migrated-m1
alloySteelDaggerPoisoned,alloy_steel_dagger_poisoned,True,pending
alloySteelGreatsword,alloy_steel_greatsword,True,migrated-m1
alloySteelHammer,alloy_steel_hammer,True,pending
alloySteelHelmet,alloy_steel_helmet,True,pending
alloySteelHoe,alloy_steel_hoe,True,pending
alloySteelIngot,alloy_steel_ingot,True,migrated-m1
alloySteelLeggings,alloy_steel_leggings,True,pending
alloySteelLongsword,alloy_steel_longsword,True,migrated-m1
alloySteelMattock,alloy_steel_mattock,True,pending
alloySteelNugget,alloy_steel_nugget,True,migrated-m1
alloySteelPickaxe,alloy_steel_pickaxe,True,pending
alloySteelPike,alloy_steel_pike,True,pending
alloySteelScimitar,alloy_steel_scimitar,True,pending
alloySteelShovel,alloy_steel_shovel,True,pending
alloySteelSpear,alloy_steel_spear,True,pending
alloySteelSword,alloy_steel_sword,True,pending
alloySteelThrowingAxe,alloy_steel_throwing_axe,True,pending
almond,almond,True,migrated-m1
amber,amber,True,pending
amethyst,amethyst,True,pending
anonymousMask,anonymous_mask,True,pending
appleCrumble,apple_crumble,True,pending
appleGreen,apple_green,True,migrated-m1
ardrianCeltigarAxe,ardrian_celtigar_axe,True,pending
armorStand,armor_stand,True,pending
arrowFire,arrow_fire,True,pending
arrowPoisoned,arrow_poisoned,True,pending
arrynBoots,arryn_boots,True,pending
arrynChestplate,arryn_chestplate,True,pending
arrynHelmet,arryn_helmet,True,pending
arrynLeggings,arryn_leggings,True,pending
arrynguardBoots,arrynguard_boots,True,pending
arrynguardChestplate,arrynguard_chestplate,True,pending
arrynguardHelmet,arrynguard_helmet,True,pending
arrynguardLeggings,arrynguard_leggings,True,pending
asshaiArchmagStaff,asshai_archmag_staff,True,pending
asshaiBoots,asshai_boots,True,pending
asshaiChestplate,asshai_chestplate,True,pending
asshaiHelmet,asshai_helmet,True,pending
asshaiLeggings,asshai_leggings,True,pending
asshaiMask,asshai_mask,True,pending
asshaiShadowbinderStaff,asshai_shadowbinder_staff,True,pending
banana,banana,True,migrated-m1
bananaBread,banana_bread,True,migrated-m1
bananaCake,banana_cake,True,pending
bane,bane,True,pending
banner,banner,False,migrated-heraldry
bearRug,bear_rug,False,pending
beaverCooked,beaver_cooked,True,pending
beaverRaw,beaver_raw,True,pending
beaverTail,beaver_tail,True,migrated-catch-up-4
bericDondarrionSword,beric_dondarrion_sword,True,pending
berryPie,berry_pie,True,pending
blackArakh,black_arakh,True,pending
blackberry,blackberry,True,migrated-m1
blackfyre,blackfyre,True,pending
blacksmithHammer,blacksmith_hammer,True,pending
bloodOfTrueKings,blood_of_true_kings,True,migrated-catch-up-4
blueberry,blueberry,True,migrated-m1
boneBoots,bone_boots,True,pending
boneChestplate,bone_chestplate,True,pending
boneHelmet,bone_helmet,True,pending
boneLeggings,bone_leggings,True,pending
bottlePoison,bottle_poison,True,migrated-catch-up-4
bountyTrophy,bounty_trophy,True,migrated-catch-up-4
braavosBoots,braavos_boots,True,pending
braavosChestplate,braavos_chestplate,True,pending
braavosHelmet,braavos_helmet,True,pending
braavosLeggings,braavos_leggings,True,pending
brandingIron,branding_iron,True,pending
brightroar,brightroar,True,pending
bronzeAxe,bronze_axe,True,pending
bronzeBattleaxe,bronze_battleaxe,True,pending
bronzeBoots,bronze_boots,True,pending
bronzeChainmailBoots,bronze_chainmail_boots,True,pending
bronzeChainmailChestplate,bronze_chainmail_chestplate,True,pending
bronzeChainmailHelmet,bronze_chainmail_helmet,True,pending
bronzeChainmailLeggings,bronze_chainmail_leggings,True,pending
bronzeChestplate,bronze_chestplate,True,pending
bronzeCrossbow,bronze_crossbow,True,pending
bronzeDagger,bronze_dagger,True,migrated-m1
bronzeDaggerPoisoned,bronze_dagger_poisoned,True,pending
bronzeGreatsword,bronze_greatsword,True,migrated-m1
bronzeHammer,bronze_hammer,True,pending
bronzeHelmet,bronze_helmet,True,pending
bronzeHoe,bronze_hoe,True,pending
bronzeIngot,bronze_ingot,True,migrated-m1
bronzeLeggings,bronze_leggings,True,pending
bronzeLongsword,bronze_longsword,True,migrated-m1
bronzeMattock,bronze_mattock,True,pending
bronzeNugget,bronze_nugget,True,migrated-m1
bronzePickaxe,bronze_pickaxe,True,pending
bronzePike,bronze_pike,True,pending
bronzeRing,bronze_ring,True,pending
bronzeScimitar,bronze_scimitar,True,pending
bronzeShovel,bronze_shovel,True,pending
bronzeSpear,bronze_spear,True,pending
bronzeSword,bronze_sword,True,pending
bronzeThrowingAxe,bronze_throwing_axe,True,pending
camelCooked,camel_cooked,True,pending
camelRaw,camel_raw,True,pending
cargocart,cargocart,True,pending
ceramicMug,ceramic_mug,True,pending
ceramicPlate,ceramic_plate,True,pending
cherry,cherry,True,migrated-m1
cherryPie,cherry_pie,True,pending
chestnut,chestnut,True,migrated-m1
chestnutRoast,chestnut_roast,True,migrated-m1
chisel,chisel,True,pending
clayMug,clay_mug,True,pending
clayPlate,clay_plate,True,migrated-catch-up-4
club,club,True,pending
cobaltBlue,cobalt_blue,True,pending
coin,coin,False,pending
commandHorn,command_horn,True,pending
commandSword,command_sword,True,pending
copperAxe,copper_axe,True,pending
copperBattleaxe,copper_battleaxe,True,pending
copperBoots,copper_boots,True,pending
copperChainmailBoots,copper_chainmail_boots,True,pending
copperChainmailChestplate,copper_chainmail_chestplate,True,pending
copperChainmailHelmet,copper_chainmail_helmet,True,pending
copperChainmailLeggings,copper_chainmail_leggings,True,pending
copperChestplate,copper_chestplate,True,pending
