# inventory item|hand-only baked model|legacy canvas scale
# generated by migration/generate-held-weapon-models.py
got:alloy_steel_battleaxe|got:item/held/alloy_steel_battleaxe|2
got:alloy_steel_greatsword|got:item/held/alloy_steel_greatsword|3
got:alloy_steel_hammer|got:item/held/alloy_steel_hammer|2
got:alloy_steel_longsword|got:item/held/alloy_steel_longsword|3
got:alloy_steel_pike|got:item/held/alloy_steel_pike|3
got:alloy_steel_scimitar|got:item/held/alloy_steel_scimitar|2
got:alloy_steel_spear|got:item/held/alloy_steel_spear|2
got:alloy_steel_sword|got:item/held/alloy_steel_sword|2
got:ardrian_celtigar_axe|got:item/held/ardrian_celtigar_axe|2
got:asshai_archmag_staff|got:item/held/asshai_archmag_staff|2
got:asshai_shadowbinder_staff|got:item/held/asshai_shadowbinder_staff|2
got:bane|got:item/held/bane|2
got:beric_dondarrion_sword|got:item/held/beric_dondarrion_sword|2
got:black_arakh|got:item/held/black_arakh|2
got:blackfyre|got:item/held/blackfyre|2
got:brightroar|got:item/held/brightroar|2
got:bronze_battleaxe|got:item/held/bronze_battleaxe|2
got:bronze_greatsword|got:item/held/bronze_greatsword|3
got:bronze_hammer|got:item/held/bronze_hammer|2
got:bronze_longsword|got:item/held/bronze_longsword|3
got:bronze_pike|got:item/held/bronze_pike|3
got:bronze_scimitar|got:item/held/bronze_scimitar|2
got:bronze_spear|got:item/held/bronze_spear|2
got:bronze_sword|got:item/held/bronze_sword|2
got:club|got:item/held/club|2
got:command_sword|got:item/held/command_sword|2
got:copper_battleaxe|got:item/held/copper_battleaxe|2
got:copper_greatsword|got:item/held/copper_greatsword|3
got:copper_hammer|got:item/held/copper_hammer|2
got:copper_longsword|got:item/held/copper_longsword|3
got:copper_pike|got:item/held/copper_pike|3
got:copper_scimitar|got:item/held/copper_scimitar|2
got:copper_spear|got:item/held/copper_spear|2
got:copper_sword|got:item/held/copper_sword|2
got:crowbar|got:item/held/crowbar|2
got:cutwave|got:item/held/cutwave|2
got:daario_arakh|got:item/held/daario_arakh|2
got:dark_sister|got:item/held/dark_sister|2
got:darkstar|got:item/held/darkstar|2
got:dawn|got:item/held/dawn|2
got:dawn_glowing|got:item/held/dawn_glowing|2
got:fin|got:item/held/fin|2
got:fuse|got:item/held/fuse|2
got:gold_battleaxe|got:item/held/gold_battleaxe|2
got:gold_greatsword|got:item/held/gold_greatsword|3
got:gold_hammer|got:item/held/gold_hammer|2
got:gold_longsword|got:item/held/gold_longsword|3
got:gold_pike|got:item/held/gold_pike|3
got:gold_scimitar|got:item/held/gold_scimitar|2
got:gold_spear|got:item/held/gold_spear|2
got:gregor_clegane_sword|got:item/held/gregor_clegane_sword|3
got:harpoon|got:item/held/harpoon|2
got:hearteater|got:item/held/hearteater|2
got:heartsbane|got:item/held/heartsbane|2
got:honor|got:item/held/honor|2
got:ice|got:item/held/ice|3
got:ice_heavy_sword|got:item/held/ice_heavy_sword|2
got:ice_spear|got:item/held/ice_spear|2
got:ice_sword|got:item/held/ice_sword|2
got:indomitable|got:item/held/indomitable|2
got:iron_battleaxe|got:item/held/iron_battleaxe|2
got:iron_greatsword|got:item/held/iron_greatsword|3
got:iron_hammer|got:item/held/iron_hammer|2
got:iron_longsword|got:item/held/iron_longsword|3
got:iron_pike|got:item/held/iron_pike|3
got:iron_scimitar|got:item/held/iron_scimitar|2
got:iron_spear|got:item/held/iron_spear|2
got:just_maid|got:item/held/just_maid|2
got:katana|got:item/held/katana|3
got:lady_forlorn|got:item/held/lady_forlorn|2
got:lamentation|got:item/held/lamentation|2
got:lightbringer|got:item/held/lightbringer|2
got:longbow|got:item/held/longbow|2
got:longbow_pull_0|got:item/held/longbow_pull_0|2
got:longbow_pull_1|got:item/held/longbow_pull_1|2
got:longbow_pull_2|got:item/held/longbow_pull_2|2
got:longclaw|got:item/held/longclaw|2
got:needle|got:item/held/needle|2
got:night_king_sword|got:item/held/night_king_sword|2
got:nightfall|got:item/held/nightfall|2
got:oathkeeper|got:item/held/oathkeeper|2
got:obsidian_battleaxe|got:item/held/obsidian_battleaxe|2
got:obsidian_hammer|got:item/held/obsidian_hammer|2
got:obsidian_pike|got:item/held/obsidian_pike|3
got:obsidian_scimitar|got:item/held/obsidian_scimitar|2
got:obsidian_spear|got:item/held/obsidian_spear|2
got:obsidian_sword|got:item/held/obsidian_sword|2
got:orphan_maker|got:item/held/orphan_maker|2
got:pruner|got:item/held/pruner|2
got:red_rain|got:item/held/red_rain|2
got:reminder|got:item/held/reminder|2
got:robert_baratheon_hammer|got:item/held/robert_baratheon_hammer|3
got:sandor_clegane_sword|got:item/held/sandor_clegane_sword|2
got:sothoryos_double_torch|got:item/held/sothoryos_double_torch|2
got:stone_battleaxe|got:item/held/stone_battleaxe|2
got:stone_hammer|got:item/held/stone_hammer|2
got:stone_pike|got:item/held/stone_pike|3
got:stone_scimitar|got:item/held/stone_scimitar|2
got:stone_spear|got:item/held/stone_spear|2
got:sunspear|got:item/held/sunspear|2
got:tidewings|got:item/held/tidewings|2
got:trident|got:item/held/trident|2
got:truth|got:item/held/truth|2
got:valyrian_battleaxe|got:item/held/valyrian_battleaxe|2
got:valyrian_greatsword|got:item/held/valyrian_greatsword|3
got:valyrian_hammer|got:item/held/valyrian_hammer|2
got:valyrian_longsword|got:item/held/valyrian_longsword|3
got:valyrian_pike|got:item/held/valyrian_pike|3
got:valyrian_scimitar|got:item/held/valyrian_scimitar|2
got:valyrian_spear|got:item/held/valyrian_spear|2
got:valyrian_sword|got:item/held/valyrian_sword|2
got:vigilance|got:item/held/vigilance|2
got:walking_stick|got:item/held/walking_stick|3
got:widow_wail|got:item/held/widow_wail|2
got:wood_battleaxe|got:item/held/wood_battleaxe|2
got:wood_hammer|got:item/held/wood_hammer|2
got:wood_pike|got:item/held/wood_pike|3
got:wood_scimitar|got:item/held/wood_scimitar|2
got:wood_spear|got:item/held/wood_spear|2
minecraft:diamond_sword|got:item/held/vanilla/diamond_sword|2
minecraft:golden_sword|got:item/held/vanilla/golden_sword|2
minecraft:iron_sword|got:item/held/vanilla/iron_sword|2
minecraft:stone_sword|got:item/held/vanilla/stone_sword|2
minecraft:wooden_sword|got:item/held/vanilla/wooden_sword|2
