id,display_name,material,kind,copy_block,side_texture,top_texture,bottom_texture,face_texture,middle_texture,top_segment_texture,bottom_segment_texture
basalt,Basalt,masonry,column,minecraft:stone,got:block/rock_basalt_side,got:block/rock_basalt,,,,,
rhyolite,Rhyolite,masonry,cube,minecraft:stone,got:block/rock_rhyolite,,,,,,
marble,Marble,masonry,cube,minecraft:stone,got:block/rock_chalk,,,,,,
labradorite,Labradorite,masonry,cube,minecraft:stone,got:block/rock_labradorite,,,,,,
white_sandstone,White Sandstone,masonry,column,minecraft:sandstone,got:block/white_sandstone,got:block/white_sandstone_top,got:block/white_sandstone_bottom,,,,
white_sand,White Sand,earth,falling,minecraft:sand,got:block/white_sand,,,,,,
scorched_stone,Scorched Stone,masonry,cube,minecraft:stone,got:block/scorched_stone,,,,,,
bone_block,Bone Block,masonry,cube,minecraft:bone_block,got:block/bone_block,,,,,,
jungle_mud,Jungle Mud,earth,cube,minecraft:mud,got:block/mud,,,,,,
asshai_dirt,Asshai Dirt,earth,cube,minecraft:dirt,got:block/asshai_dirt,,,,,,
jungle_mud_path,Jungle Mud Path,earth,cube,minecraft:dirt_path,got:block/dirt_path_mud,,,,,,
bruschatka,Bruschatka,earth,cube,minecraft:dirt_path,got:block/dirt_path_brus,,,,,,
basalt_gravel,Asshai Gravel,earth,falling,minecraft:gravel,got:block/basalt_gravel,,,,,,
obsidian_gravel,Obsidian Gravel,earth,falling,minecraft:gravel,got:block/obsidian_gravel,,,,,,
smooth_basalt,Smooth Basalt,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_basalt_side,got:block/smooth_stone_basalt_top,,,,,
smooth_andesite,Smooth Andesite,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_andesite_side,got:block/smooth_stone_andesite_top,,,,,
smooth_rhyolite,Smooth Rhyolite,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_rhyolite_side,got:block/smooth_stone_rhyolite_top,,,,,
smooth_diorite,Smooth Diorite,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_diorite_side,got:block/smooth_stone_diorite_top,,,,,
smooth_granite,Smooth Granite,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_granite_side,got:block/smooth_stone_granite_top,,,,,
smooth_marble,Smooth Marble,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_chalk_side,got:block/smooth_stone_chalk_top,,,,,
smooth_labradorite,Smooth Labradorite,masonry,column,minecraft:smooth_stone,got:block/smooth_stone_labradorite_side,got:block/smooth_stone_labradorite_top,,,,,
diorite_pillar,Diorite Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_diorite_side,,,got:block/pillar1_diorite_face,got:block/pillar1_diorite_side_middle,got:block/pillar1_diorite_side_top,got:block/pillar1_diorite_side_bottom
granite_pillar,Granite Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_granite_side,,,got:block/pillar1_granite_face,got:block/pillar1_granite_side_middle,got:block/pillar1_granite_side_top,got:block/pillar1_granite_side_bottom
sandstone_pillar,Sandstone Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_sandstone_side,,,got:block/pillar1_sandstone_face,got:block/pillar1_sandstone_side_middle,got:block/pillar1_sandstone_side_top,got:block/pillar1_sandstone_side_bottom
andesite_pillar,Andesite Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_andesite_side,,,got:block/pillar1_andesite_face,got:block/pillar1_andesite_side_middle,got:block/pillar1_andesite_side_top,got:block/pillar1_andesite_side_bottom
asshai_basalt_pillar,Asshai Basalt Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_basalt_side,,,got:block/pillar1_basalt_face,got:block/pillar1_basalt_side_middle,got:block/pillar1_basalt_side_top,got:block/pillar1_basalt_side_bottom
rhyolite_pillar,Rhyolite Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_rhyolite_side,,,got:block/pillar1_rhyolite_face,got:block/pillar1_rhyolite_side_middle,got:block/pillar1_rhyolite_side_top,got:block/pillar1_rhyolite_side_bottom
basalt_pillar,Basalt Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_basalt_westeros_side,,,got:block/pillar1_basalt_westeros_face,got:block/pillar1_basalt_westeros_side_middle,got:block/pillar1_basalt_westeros_side_top,got:block/pillar1_basalt_westeros_side_bottom
sothoryos_pillar,Sothoryos Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_sothoryos_side,,,got:block/pillar1_sothoryos_face,got:block/pillar1_sothoryos_side_middle,got:block/pillar1_sothoryos_side_top,got:block/pillar1_sothoryos_side_bottom
red_sandstone_pillar,Red Sandstone Pillar,masonry,pillar,minecraft:stone,got:block/pillar1_sandstone_red_side,,,got:block/pillar1_sandstone_red_face,got:block/pillar1_sandstone_red_side_middle,got:block/pillar1_sandstone_red_side_top,got:block/pillar1_sandstone_red_side_bottom
labradorite_pillar,Labradorite Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_labradorite_side,,,got:block/pillar2_labradorite_face,got:block/pillar2_labradorite_side_middle,got:block/pillar2_labradorite_side_top,got:block/pillar2_labradorite_side_bottom
marble_pillar,Marble Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_chalk_side,,,got:block/pillar2_chalk_face,got:block/pillar2_chalk_side_middle,got:block/pillar2_chalk_side_top,got:block/pillar2_chalk_side_bottom
stone_pillar,Stone Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_stone_side,,,got:block/pillar2_stone_face,got:block/pillar2_stone_side_middle,got:block/pillar2_stone_side_top,got:block/pillar2_stone_side_bottom
brick_pillar,Brick Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_brick_side,,,got:block/pillar2_brick_face,got:block/pillar2_brick_side_middle,got:block/pillar2_brick_side_top,got:block/pillar2_brick_side_bottom
yi_ti_pillar,Yi Ti Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_yi_ti_side,,,got:block/pillar2_yi_ti_face,got:block/pillar2_yi_ti_side_middle,got:block/pillar2_yi_ti_side_top,got:block/pillar2_yi_ti_side_bottom
yi_ti_granite_pillar,Granite Yi Ti Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_yi_ti_red_side,,,got:block/pillar2_yi_ti_red_face,got:block/pillar2_yi_ti_red_side_middle,got:block/pillar2_yi_ti_red_side_top,got:block/pillar2_yi_ti_red_side_bottom
sothoryos_gold_pillar,Golden Sothoryos Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_sothoryos_gold_side,,,got:block/pillar2_sothoryos_gold_face,got:block/pillar2_sothoryos_gold_side_middle,got:block/pillar2_sothoryos_gold_side_top,got:block/pillar2_sothoryos_gold_side_bottom
sothoryos_obsidian_pillar,Obsidian Sothoryos Pillar,masonry,pillar,minecraft:stone,got:block/pillar2_sothoryos_obsidian_side,,,got:block/pillar2_sothoryos_obsidian_face,got:block/pillar2_sothoryos_obsidian_side_middle,got:block/pillar2_sothoryos_obsidian_side_top,got:block/pillar2_sothoryos_obsidian_side_bottom
