family_id,base_block,display_name,material,parts,base_texture,base_model,stairs_id,slab_id,wall_id,fence_id,fence_gate_id,door_id,trapdoor_id,beam_id,stairs_name,slab_name,wall_name,fence_name,fence_gate_name,door_name,trapdoor_name,beam_name,door_bottom_texture,door_top_texture,door_item_texture,trapdoor_texture,beam_side_texture,beam_end_texture
ibbinia,got:ibbinia_planks,Ibbinia,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/ibbinia_planks,got:block/ibbinia_planks,stairs_ibbinia,wood_slab_ibbinia,,fence_ibbinia,fence_gate_ibbinia,door_ibbinia,trapdoor_ibbinia,wood_beam_ibbinia,Ibbinia Wood Stairs,Ibbinia Wood Slab,,Ibbinia Fence,Ibbinia Fence Gate,Ibbinia Door,Ibbinia Trapdoor,Ibbinia Wood Beam,got:block/door_ibbinia_lower,got:block/door_ibbinia_upper,got:item/door_ibbinia,got:block/trapdoor_ibbinia,got:block/wood_beam1_ibbinia_side,got:block/wood_beam1_ibbinia_top
catalpa,got:catalpa_planks,Catalpa,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/catalpa_planks,got:block/catalpa_planks,stairs_catalpa,wood_slab_catalpa,,fence_catalpa,fence_gate_catalpa,door_catalpa,trapdoor_catalpa,wood_beam_catalpa,Catalpa Wood Stairs,Catalpa Wood Slab,,Catalpa Fence,Catalpa Fence Gate,Catalpa Door,Catalpa Trapdoor,Catalpa Wood Beam,got:block/door_catalpa_lower,got:block/door_catalpa_upper,got:item/door_catalpa,got:block/trapdoor_catalpa,got:block/wood_beam1_catalpa_side,got:block/wood_beam1_catalpa_top
ulthos,got:ulthos_planks,Black-oak,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/ulthos_planks,got:block/ulthos_planks,stairs_ulthos,wood_slab_ulthos,,fence_ulthos,fence_gate_ulthos,door_ulthos,trapdoor_ulthos,wood_beam_ulthos,Black-oak Wood Stairs,Black-oak Wood Slab,,Black-oak Fence,Black-oak Fence Gate,Black-oak Door,Black-oak Trapdoor,Black-oak Wood Beam,got:block/door_ulthos_lower,got:block/door_ulthos_upper,got:item/door_ulthos,got:block/trapdoor_ulthos,got:block/wood_beam1_ulthos_side,got:block/wood_beam1_ulthos_top
charred,got:charred_planks,Charred,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/charred_planks,got:block/charred_planks,stairs_charred,wood_slab_charred,,fence_charred,fence_gate_charred,door_charred,trapdoor_charred,wood_beam_charred,Charred Wood Stairs,Charred Wood Slab,,Charred Fence,Charred Fence Gate,Charred Door,Charred Trapdoor,Charred Wood Beam,got:block/door_charred_lower,got:block/door_charred_upper,got:item/door_charred,got:block/trapdoor_charred,got:block/wood_beam1_charred_side,got:block/wood_beam1_charred_top
apple,got:apple_planks,Apple,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/apple_planks,got:block/apple_planks,stairs_apple,wood_slab_apple,,fence_apple,fence_gate_apple,door_apple,trapdoor_apple,wood_beam_apple,Apple Wood Stairs,Apple Wood Slab,,Apple Fence,Apple Fence Gate,Apple Door,Apple Trapdoor,Apple Wood Beam,got:block/door_apple_lower,got:block/door_apple_upper,got:item/door_apple,got:block/trapdoor_apple,got:block/wood_beam_fruit_apple_side,got:block/wood_beam_fruit_apple_top
pear,got:pear_planks,Pear,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/pear_planks,got:block/pear_planks,stairs_pear,wood_slab_pear,,fence_pear,fence_gate_pear,door_pear,trapdoor_pear,wood_beam_pear,Pear Wood Stairs,Pear Wood Slab,,Pear Fence,Pear Fence Gate,Pear Door,Pear Trapdoor,Pear Wood Beam,got:block/door_pear_lower,got:block/door_pear_upper,got:item/door_pear,got:block/trapdoor_pear,got:block/wood_beam_fruit_pear_side,got:block/wood_beam_fruit_pear_top
cherry,got:cherry_planks,Cherry,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/cherry_planks,got:block/cherry_planks,stairs_cherry,wood_slab_cherry,,fence_cherry,fence_gate_cherry,door_cherry,trapdoor_cherry,wood_beam_cherry,Cherry Wood Stairs,Cherry Wood Slab,,Cherry Fence,Cherry Fence Gate,Cherry Door,Cherry Trapdoor,Cherry Wood Beam,got:block/door_cherry_lower,got:block/door_cherry_upper,got:item/door_cherry,got:block/trapdoor_cherry,got:block/wood_beam_fruit_cherry_side,got:block/wood_beam_fruit_cherry_top
mango,got:mango_planks,Mango,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/mango_planks,got:block/mango_planks,stairs_mango,wood_slab_mango,,fence_mango,fence_gate_mango,door_mango,trapdoor_mango,wood_beam_mango,Mango Wood Stairs,Mango Wood Slab,,Mango Fence,Mango Fence Gate,Mango Door,Mango Trapdoor,Mango Wood Beam,got:block/door_mango_lower,got:block/door_mango_upper,got:item/door_mango,got:block/trapdoor_mango,got:block/wood_beam_fruit_mango_side,got:block/wood_beam_fruit_mango_top
aramant,got:aramant_planks,Aramant,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/aramant_planks,got:block/aramant_planks,stairs_aramant,wood_slab_aramant,,fence_aramant,fence_gate_aramant,door_aramant,trapdoor_aramant,wood_beam_aramant,Aramant Wood Stairs,Aramant Wood Slab,,Aramant Fence,Aramant Fence Gate,Aramant Door,Aramant Trapdoor,Aramant Wood Beam,got:block/door_aramant_lower,got:block/door_aramant_upper,got:item/door_aramant,got:block/trapdoor_aramant,got:block/wood_beam2_aramant_side,got:block/wood_beam2_aramant_top
beech,got:beech_planks,Beech,wood,stairs;slab;fence;fence_gate;door;trapdoor;beam,got:block/beech_planks,got:block/beech_planks,stairs_beech,wood_slab_beech,,fence_beech,fence_gate_beech,door_beech,trapdoor_beech,wood_beam_beech,Beech Wood Stairs,Beech Wood Slab,,Beech Fence,Beech Fence Gate,Beech Door,Beech Trapdoor,Beech Wood Beam,got:block/door_beech_lower,got:block/door_beech_upper,got:item/door_beech,got:block/trapdoor_beech,got:block/wood_beam2_beech_side,got:block/wood_beam2_beech_top
