legacy_id,legacy_field,registry_id,rgb
0,ocean,ocean,024B75
1,ocean1,ocean1,025582
2,ocean2,ocean2,025E8C
3,ocean3,ocean3,036799
4,kingSpears,king_spears,A0A0A0
5,island,island,9AB553
6,beach,beach,DBCA97
7,beachGravel,beach_gravel,9695A0
8,beachWhite,beach_white,EDEDED
9,lake,lake,34649E
10,river,river,367CB5
11,shadowLand,shadow_land,8E8854
12,shadowMountains,shadow_mountains,635E3B
13,shadowTown,shadow_town,A39C68
14,valyria,valyria,66635F
15,valyriaSea,valyria_sea,0D314C
16,valyriaSea1,valyria_sea1,103B5B
17,valyriaSea2,valyria_sea2,124468
18,valyriaVolcano,valyria_volcano,A5A5A5
19,bleedingBeach,bleeding_beach,DBC6AF
20,alwaysWinter,always_winter,C9DAE0
21,arryn,arryn,8CBA5B
22,arrynForest,arryn_forest,598440
23,arrynMountains,arryn_mountains,C1E0BA
24,arrynMountainsFoothills,arryn_mountains_foothills,598454
25,arrynTown,arryn_town,89BC5C
26,bleedingSea,bleeding_sea,916C3E
27,boneMountains,bone_mountains,E5E2B3
28,braavos,braavos,AA9747
29,braavosForest,braavos_forest,686530
30,braavosHills,braavos_hills,8E7E3B
31,cannibalSands,cannibal_sands,CCBC82
32,cannibalSandsHills,cannibal_sands_hills,B2A472
33,frozenShore,frozen_shore,C0D6CC
34,crownlands,crownlands,81AF57
35,crownlandsForest,crownlands_forest,507A3D
36,crownlandsTown,crownlands_town,9DC677
37,disputedLands,disputed_lands,AFB25B
38,disputedLandsForest,disputed_lands_forest,707C40
39,dorne,dorne,AAA753
40,dorneDesert,dorne_desert,D6C175
41,dorneForest,dorne_forest,6B7239
42,dorneMesa,dorne_mesa,DDD5AF
43,dorneMountains,dorne_mountains,D7E0AF
44,dothrakiSea,dothraki_sea,9EAA46
45,dothrakiSeaForest,dothraki_sea_forest,637531
46,dothrakiSeaHills,dothraki_sea_hills,858E3B
47,dragonstone,dragonstone,96AF85
48,essos,essos,92A54A
49,essosForest,essos_forest,617027
50,essosMarshes,essos_marshes,739655
51,essosMountains,essos_mountains,DDDDAF
52,frostfangs,frostfangs,B8C5C6
53,ghiscar,ghiscar,ADAF6B
54,ghiscarAstapor,ghiscar_astapor,B1BA7A
55,ghiscarColony,ghiscar_colony,5B8C2A
56,ghiscarForest,ghiscar_forest,6F7A4B
57,ghiscarMeereen,ghiscar_meereen,C1BA7A
58,ghiscarNewGhis,ghiscar_new_ghis,B1AF7A
59,ghiscarYunkai,ghiscar_yunkai,B9BA7A
60,giftOld,gift_old,B3D3A9
61,giftNew,gift_new,9CC78A
62,hauntedForest,haunted_forest,88AD8D
63,ibben,ibben,7AA04B
64,ibbenColony,ibben_colony,9EAF56
65,ibbenColonyForest,ibben_colony_forest,657A3D
66,ibbenColonyHills,ibben_colony_hills,869349
67,ibbenMountains,ibben_mountains,AFBC9F
68,ibbenTaiga,ibben_taiga,4C6B23
69,ifekevronForest,ifekevron_forest,657231
70,ironIslands,iron_islands,8BBA83
71,ironIslandsForest,iron_islands_forest,59845E
72,ironIslandsHills,iron_islands_hills,779E70
73,isleOfFaces,isle_of_faces,82A556
74,jogosNhai,jogos_nhai,B2B762
75,jogosNhaiDesert,jogos_nhai_desert,D6C182
76,jogosNhaiDesertHills,jogos_nhai_desert_hills,BAA671
77,jogosNhaiForest,jogos_nhai_forest,727F44
78,jogosNhaiHills,jogos_nhai_hills,979B53
79,kingswoodNorth,kingswood_north,587A3D
80,kingswoodSouth,kingswood_south,5F7A3D
81,lhazar,lhazar,B2B758
82,lhazarForest,lhazar_forest,74823F
83,lhazarHills,lhazar_hills,979B4C
84,longSummer,long_summer,95A03D
85,longSummer,long_summer,5A6B29
86,lorath,lorath,A5B25B
87,lorathForest,lorath_forest,6A7C40
88,lorathHills,lorath_hills,8C964E
89,lorathMaze,lorath_maze,A8AF7B
90,lys,lys,70A564
91,massy,massy,89AD68
92,massyHills,massy_hills,749158
93,mossovy,mossovy,92A35E
94,mossovyMarshes,mossovy_marshes,749975
95,mossovyMountains,mossovy_mountains,D7E2B3
96,mossovyTaiga,mossovy_taiga,647A46
97,myr,myr,A0A349
98,myrForest,myr_forest,626D31
99,naath,naath,7DA33C
100,neck,neck,6DAA75
101,neckForest,neck_forest,427551
102,north,north,8BBA6D
103,northBarrows,north_barrows,97C17C
104,northForest,north_forest,59844E
105,northForestIrontree,north_forest_irontree,868254
106,northHills,north_hills,779E5D
107,northMountains,north_mountains,D3E0BA
108,northTown,north_town,AAD190
109,northWild,north_wild,A9C69D
110,norvos,norvos,7DA344
111,norvosForest,norvos_forest,4A6D2E
112,norvosHills,norvos_hills,678738
113,pentos,pentos,B2A349
114,pentosForest,pentos_forest,706F34
115,pentosHills,pentos_hills,96893F
116,qarth,qarth,9EAA4E
117,qarthColony,qarth_colony,9DAF54
118,qarthDesert,qarth_desert,DCC175
119,qohor,qohor,AFB350
120,qohorForest,qohor_forest,737F39
121,qohorHills,qohor_hills,969944
122,reach,reach,A7B65A
123,reachArbor,reach_arbor,A7AC5A
124,reachFireField,reach_fire_field,C2C47B
125,reachForest,reach_forest,6E8241
126,reachHills,reach_hills,8F9B4D
127,reachTown,reach_town,C2D87B
128,riverlands,riverlands,87BC58
129,riverlandsForest,riverlands_forest,58873F
130,shrykesLand,shrykes_land,AAAE77
131,skagos,skagos,97BF85
132,sothoryosBushland,sothoryos_bushland,998F3D
133,sothoryosDesert,sothoryos_desert,CCB882
134,sothoryosDesertCold,sothoryos_desert_cold,DAD4AF
135,sothoryosDesertHills,sothoryos_desert_hills,B9A762
136,sothoryosForest,sothoryos_forest,6A8436
137,sothoryosFrost,sothoryos_frost,D8D8D2
138,sothoryosHell,sothoryos_hell,2E421B
139,sothoryosJungle,sothoryos_jungle,4A6B2B
140,sothoryosJungleEdge,sothoryos_jungle_edge,748F3A
141,sothoryosMangrove,sothoryos_mangrove,6E8E48
142,sothoryosMountains,sothoryos_mountains,D8D2B1
143,sothoryosSavannah,sothoryos_savannah,8CA041
144,sothoryosTaiga,sothoryos_taiga,737F5B
145,sothoryosTaigaEdge,sothoryos_taiga_edge,A3B481
146,stepstones,stepstones,9BA37A
147,stoneyShore,stoney_shore,89A599
148,stormlands,stormlands,96AF56
149,stormlandsForest,stormlands_forest,617A3D
150,stormlandsTarth,stormlands_tarth,A4AD68
151,stormlandsTarthForest,stormlands_tarth_forest,687749
152,stormlandsTown,stormlands_town,B3C677
153,summerColony,summer_colony,9BAD53
154,summerIslands,summer_islands,83A54A
155,summerIslandsTropicalForest,summer_islands_tropical_forest,4F7032
156,thennLand,thenn_land,C3DDCF
157,tyrosh,tyrosh,9AA5A2
158,ulthosBushland,ulthos_bushland,648432
159,ulthosDesert,ulthos_desert,CEBA84
160,ulthosDesertCold,ulthos_desert_cold,D8D2AD
161,ulthosForest,ulthos_forest,284F1E
162,ulthosForestEdge,ulthos_forest_edge,436A28
163,ulthosFrost,ulthos_frost,CECECA
164,ulthosMarshes,ulthos_marshes,588E4D
165,ulthosMarshesForest,ulthos_marshes_forest,41753F
166,ulthosMountains,ulthos_mountains,CDD6AF
167,ulthosRedForest,ulthos_red_forest,5E441C
168,ulthosRedForestEdge,ulthos_red_forest_edge,5E6526
169,ulthosTaiga,ulthos_taiga,5C6B3D
170,ulthosTaigaEdge,ulthos_taiga_edge,818E66
171,volantis,volantis,B2A24C
172,volantisForest,volantis_forest,727135
173,volantisMarshes,volantis_marshes,9EA260
174,volantisOrangeForest,volantis_orange_forest,9D8840
175,westerlands,westerlands,B9BA5E
176,westerlandsForest,westerlands_forest,7A8443
177,westerlandsHills,westerlands_hills,9E9E50
178,westerlandsTown,westerlands_town,D1D17F
179,westerosFrost,westeros_frost,D7E4E5
180,yeen,yeen,242F0F
181,yiTi,yi_ti,AAAE55
182,yiTiBorderZone,yi_ti_border_zone,AAAE56
183,yiTiMarshes,yi_ti_marshes,8BA061
184,yiTiTropicalForest,yi_ti_tropical_forest,6E7A3B
